open,high,low,close,volume,close_time
2135.55,2135.55,2135.5,2135.55,73686,1618177440
2135.55,2136.4,2135.5,2136.35,1028338,1618177500
2136.35,2136.4,2136,2136.05,1033054,1618177560
2136.05,2136.05,2136,2136.05,361046,1618177620
2136.05,2136.35,2136,2136.3,164302,1618177680
2136.3,2136.35,2136.3,2136.3,41196,1618177740
2136.3,2136.8,2136.3,2136.8,220500,1618177800
2136.8,2136.85,2134.85,2134.95,594284,1618177860
2134.95,2134.95,2133.05,2134.5,1686137,1618177920
2134.5,2136.4,2134.5,2135.2,697777,1618177980
2135.2,2135.2,2134.3,2134.45,133324,1618178040
2134.45,2134.45,2134.4,2134.45,73261,1618178100
2134.45,2134.45,2134.4,2134.45,87682,1618178160
2134.45,2134.45,2134.4,2134.45,51952,1618178220
2134.45,2134.45,2134.4,2134.45,249602,1618178280
2134.45,2134.45,2134.4,2134.45,142693,1618178340
2134.45,2134.45,2134.4,2134.45,97951,1618178400
2134.45,2134.45,2131.35,2131.35,532385,1618178460
2131.35,2131.8,2131.35,2131.8,640034,1618178520
2131.8,2131.8,2131.45,2131.5,240542,1618178580
2131.5,2131.5,2131.45,2131.45,147060,1618178640
2131.45,2131.5,2125.4,2126.15,3817261,1618178700
2126.15,2126.15,2125.15,2125.15,646969,1618178760
2125.15,2128.5,2125.15,2126.7,5024160,1618178820
2126.7,2127.65,2126.65,2127.65,634528,1618178880
2127.65,2127.65,2126.95,2127.25,597017,1618178940
2127.25,2130.9,2127.25,2130.05,1573486,1618179000
2130.05,2130.4,2129.3,2129.65,405309,1618179060
2129.65,2132.45,2129.65,2132.45,402890,1618179120
2132.45,2132.45,2131.65,2132.15,405672,1618179180
2132.15,2134.35,2132.1,2134.35,370925,1618179240
2134.35,2135.7,2133.8,2135.7,271185,1618179300
2135.7,2135.75,2134.55,2134.55,475234,1618179360
2134.55,2135.65,2134.5,2134.5,623543,1618179420
2134.5,2136,2134.4,2136,380796,1618179480
2136,2137.1,2135.95,2137.1,209156,1618179540
2137.1,2137.65,2137.1,2137.6,452859,1618179600
2137.6,2139.2,2137.6,2139.2,1096633,1618179660
2139.2,2139.2,2139.15,2139.2,722834,1618179720
2139.2,2139.75,2139.15,2139.75,171820,1618179780
2139.75,2143,2139.55,2143,1144349,1618179840
2143,2143.25,2141.55,2141.55,1398892,1618179900
2141.55,2144.4,2141.55,2144.4,614728,1618179960
2144.4,2145.5,2144.35,2145.45,762986,1618180020
2145.45,2146.2,2144.4,2146.2,582909,1618180080
2146.2,2146.3,2143.35,2143.4,527934,1618180140
2143.4,2145.6,2143.3,2143.85,326165,1618180200
2143.85,2143.85,2141.9,2143.45,1188663,1618180260
2143.45,2143.45,2143.1,2143.15,113084,1618180320
2143.15,2143.6,2140.7,2140.7,523506,1618180380
2140.7,2140.75,2139.65,2139.65,1131044,1618180440
2139.65,2140.7,2139.65,2140.7,53488,1618180500
2140.7,2140.7,2140,2140.05,223651,1618180560
2140.05,2140.05,2137.85,2137.95,591256,1618180620
2137.95,2138,2136,2136.9,1765461,1618180680
2136.9,2138.25,2136.9,2138.25,432901,1618180740
2138.25,2138.25,2135.65,2135.7,326266,1618180800
2135.7,2138.35,2135.65,2138.35,117305,1618180860
2138.35,2139.9,2138.15,2138.15,220292,1618180920
2138.15,2138.15,2136.9,2136.95,196532,1618180980
2136.95,2138.6,2136.9,2138.6,201454,1618181040
2138.6,2138.6,2137.75,2137.8,174417,1618181100
2137.8,2140.2,2137.8,2140.05,328241,1618181160
2140.05,2140.05,2140,2140,82540,1618181220
2140,2141.6,2140,2141.55,423719,1618181280
2141.55,2142,2141.55,2141.95,333415,1618181340
2141.95,2141.95,2141.65,2141.95,276840,1618181400
2141.95,2142.55,2141.9,2142.55,114244,1618181460
2142.55,2143.05,2142.55,2143,1016136,1618181520
2143,2144.1,2143,2143.5,1783363,1618181580
2143.5,2146.35,2143.45,2145.4,6255560,1618181640
2145.4,2145.4,2145,2145.05,1119542,1618181700
2145.05,2145.05,2142.25,2142.9,1333649,1618181760
2142.9,2142.9,2139.85,2140,6796882,1618181820
2140,2142,2140,2141.75,1362173,1618181880
2141.75,2143.65,2141.75,2143.65,815834,1618181940
2143.65,2146.2,2143.6,2146.15,1032939,1618182000
2146.15,2146.2,2144.3,2146.05,1171620,1618182060
2146.05,2146.15,2146.05,2146.1,250837,1618182120
2146.1,2146.65,2146.1,2146.65,666481,1618182180
2146.65,2146.65,2146.6,2146.6,1171825,1618182240
2146.6,2147,2146.6,2147,196379,1618182300
2147,2147,2144.6,2146.4,910891,1618182360
2146.4,2146.4,2144.85,2145.6,204628,1618182420
2145.6,2145.9,2145.3,2145.3,105002,1618182480
2145.3,2145.35,2145.3,2145.3,52690,1618182540
2145.3,2145.85,2145.3,2145.3,227536,1618182600
2145.3,2146,2145.3,2146,843300,1618182660
2146,2147.45,2145.95,2146.8,3063568,1618182720
2146.8,2146.8,2145.75,2146,331796,1618182780
2146,2146,2143,2143.55,1062328,1618182840
2143.55,2143.6,2143,2143.05,3605741,1618182900
2143.05,2143.65,2143,2143.65,1116166,1618182960
2143.65,2143.65,2142.8,2142.9,271853,1618183020
