open,high,low,close,volume,close_time
2141.6,2141.6,2140,2140.05,771555,1618101600
2140.05,2140.05,2140,2140.05,592775,1618101660
2140.05,2140.05,2139.4,2139.95,429605,1618101720
2139.95,2140,2138.25,2138.25,966572,1618101780
2138.25,2139,2138.25,2138.95,389321,1618101840
2138.95,2139.25,2138.95,2139.2,487649,1618101900
2139.2,2139.25,2139.2,2139.25,365480,1618101960
2139.25,2139.25,2136.15,2136.85,960383,1618102020
2136.85,2138.8,2136.8,2138.8,418368,1618102080
2138.8,2138.8,2137.3,2137.35,631474,1618102140
2137.35,2137.35,2137.3,2137.3,1131290,1618102200
2137.3,2137.35,2137.3,2137.3,1050246,1618102260
2137.3,2137.35,2137.3,2137.3,121760,1618102320
2137.3,2137.4,2137.3,2137.35,563222,1618102380
2137.35,2138.25,2137.35,2138.2,991292,1618102440
2138.2,2138.25,2137,2137,1204445,1618102500
2137,2137.05,2137,2137.05,601679,1618102560
2137.05,2137.05,2137,2137,311514,1618102620
2137,2137.05,2137,2137.05,247919,1618102680
2137.05,2137.05,2137,2137,17399,1618102740
2137,2137.05,2137,2137,345055,1618102800
2137,2137,2130.75,2132.55,4330075,1618102860
2132.55,2133.35,2130.95,2131.9,1761011,1618102920
2131.9,2132.25,2131.9,2132.25,995016,1618102980
2132.25,2133,2132.2,2132.95,657378,1618103040
2132.95,2135,2132.75,2132.75,1727817,1618103100
2132.75,2133.45,2132.75,2133.4,411035,1618103160
2133.4,2133.45,2132.7,2132.75,419852,1618103220
2132.75,2132.75,2132.7,2132.7,570534,1618103280
2132.7,2132.75,2132.2,2132.2,303635,1618103340
2132.2,2132.25,2128.55,2128.6,1441030,1618103400
2128.6,2130.5,2128.55,2130.45,609665,1618103460
2130.45,2132,2130.45,2132,955258,1618103520
2132,2132,2131.4,2131.4,249330,1618103580
2131.4,2132,2131.4,2132,125476,1618103640
2132,2132.15,2131.95,2132.1,109292,1618103700
2132.1,2134.8,2132.1,2134.8,536512,1618103760
2134.8,2134.8,2134.45,2134.5,1064622,1618103820
2134.5,2135,2134.45,2135,550091,1618103880
2135,2135.5,2134.95,2135.45,178315,1618103940
2135.45,2136.45,2135.45,2136.45,114583,1618104000
2136.45,2136.5,2136.45,2136.5,147142,1618104060
2136.5,2136.5,2136.45,2136.45,278910,1618104120
2136.45,2139.5,2136.45,2139.45,5551144,1618104180
2139.45,2139.5,2139.45,2139.45,394783,1618104240
2139.45,2139.5,2139.45,2139.5,45611,1618104300
2139.5,2139.7,2139.45,2139.65,559924,1618104360
2139.65,2141.85,2139.65,2141.85,546590,1618104420
2141.85,2141.85,2141.25,2141.25,1421518,1618104480
2141.25,2141.3,2140.55,2140.55,1287659,1618104540
2140.55,2140.6,2140.55,2140.55,500137,1618104600
2140.55,2140.6,2140.2,2140.25,823373,1618104660
2140.25,2140.25,2139.35,2139.35,774620,1618104720
2139.35,2139.4,2139.35,2139.35,218862,1618104780
2139.35,2143.25,2139.35,2143.25,523954,1618104840
2143.25,2148.6,2143.2,2147.85,2052717,1618104900
2147.85,2149,2147.85,2149,642359,1618104960
2149,2149,2146.2,2146.2,6209054,1618105020
2146.2,2146.65,2145.55,2145.95,763823,1618105080
2145.95,2146,2144.55,2144.55,496525,1618105140
2144.55,2144.55,2144.05,2144.1,225148,1618105200
2144.1,2144.1,2143,2143,741371,1618105260
